	number_of_elements	mean_atomic_mass	wtd_mean_atomic_mass	gmean_atomic_mass	wtd_gmean_atomic_mass	entropy_atomic_mass	wtd_entropy_atomic_mass	range_atomic_mass	wtd_range_atomic_mass	std_atomic_mass	wtd_std_atomic_mass	mean_fie	wtd_mean_fie	gmean_fie	wtd_gmean_fie	entropy_fie	wtd_entropy_fie	range_fie	wtd_range_fie	std_fie	wtd_std_fie	mean_atomic_radius	wtd_mean_atomic_radius	gmean_atomic_radius	wtd_gmean_atomic_radius	entropy_atomic_radius	wtd_entropy_atomic_radius	range_atomic_radius	wtd_range_atomic_radius	std_atomic_radius	wtd_std_atomic_radius	mean_Density	wtd_mean_Density	gmean_Density	wtd_gmean_Density	entropy_Density	wtd_entropy_Density	range_Density	wtd_range_Density	std_Density	wtd_std_Density	mean_ElectronAffinity	wtd_mean_ElectronAffinity	gmean_ElectronAffinity	wtd_gmean_ElectronAffinity	entropy_ElectronAffinity	wtd_entropy_ElectronAffinity	range_ElectronAffinity	wtd_range_ElectronAffinity	std_ElectronAffinity	wtd_std_ElectronAffinity	mean_FusionHeat	wtd_mean_FusionHeat	gmean_FusionHeat	wtd_gmean_FusionHeat	entropy_FusionHeat	wtd_entropy_FusionHeat	range_FusionHeat	wtd_range_FusionHeat	std_FusionHeat	wtd_std_FusionHeat	mean_ThermalConductivity	wtd_mean_ThermalConductivity	gmean_ThermalConductivity	wtd_gmean_ThermalConductivity	entropy_ThermalConductivity	wtd_entropy_ThermalConductivity	range_ThermalConductivity	wtd_range_ThermalConductivity	std_ThermalConductivity	wtd_std_ThermalConductivity	mean_Valence	wtd_mean_Valence	gmean_Valence	wtd_gmean_Valence	entropy_Valence	wtd_entropy_Valence	range_Valence	wtd_range_Valence	std_Valence	wtd_std_Valence	LABEL
0	4	39.019884999999995	39.019884999999995	17.892886667798486	17.892886667798486	1.0421963377709005	1.0421963377709005	73.91366	18.478415	28.43173155978501	28.43173155978501	939.8	939.8	914.325561529364	914.3255615293641	1.3578485699567944	1.3578485699567944	574.3	143.575	229.5998584494337	229.5998584494337	117.0	117.0	108.12306054165694	108.12306054165693	1.3199297824194716	1.3199297824194716	103.0	25.75	40.03123780249619	40.03123780249619	3834.772475	3834.772475	289.723027221133	289.72302722113307	0.9569583288341262	0.9569583288341262	7873.9101	1968.477525	3122.3840758309793	3122.3840758309793	41.625	41.625	0.0	0.0	0.9396110259099743	0.9396110259099743	78.0	19.5	34.27742515125662	34.27742515125662	12.6895	12.6895	6.56338797082401	6.563387970824012	1.0365006686059173	1.0365006686059173	27.142	6.7855	9.86962161128784	9.86962161128784	72.295125	72.295125	18.378013708178372	18.37801370817838	0.9900195158592446	0.9900195158592446	159.8195	39.954875	57.95405979132847	57.95405979132847	2.75	2.75	2.3403473193207156	2.3403473193207156	1.240684291953396	1.240684291953396	4.0	1.0	1.479019945774904	1.479019945774904	0
1	4	54.848634999999994	54.848634999999994	24.655131147710403	24.655131147710417	1.1064952905988399	1.1064952905988399	86.61206	21.653015	33.07831415425634	33.07831415425634	892.75	892.75	849.420698749639	849.4206987496394	1.3375496927132375	1.3375496927132375	762.5	190.625	279.95501870836324	279.95501870836324	135.5	135.5	119.86361140301872	119.86361140301872	1.2798852994175494	1.2798852994175494	166.0	41.5	60.5413082118317	60.5413082118317	4057.772475	4057.772475	321.3360926180486	321.33609261804884	1.0134454245799638	1.0134454245799638	7873.9101	1968.477525	2993.8785535076195	2993.8785535076195	42.8825	42.8825	25.877564805460654	25.877564805460654	1.0444430981175077	1.0444430981175077	72.97	18.2425	32.78717613259794	32.78717613259794	12.5145	12.5145	6.4271844011144506	6.42718440111445	1.0258496069887126	1.0258496069887126	27.142	6.7855	9.944728792179301	9.944728792179301	41.045125	41.045125	12.56856184728392	12.568561847283922	1.0510598213614706	1.0510598213614706	78.8195	19.704875	28.404328170137642	28.404328170137642	2.75	2.75	2.3403473193207156	2.3403473193207156	1.240684291953396	1.240684291953396	4.0	1.0	1.479019945774904	1.479019945774904	0
2	4	67.275385	67.275385	27.586429145096773	27.58642914509677	1.0465554636808583	1.0465554636808583	136.31906	34.079765	48.70246743238658	48.70246743238658	881.1	881.1	830.8092523267047	830.809252326705	1.3299979711278944	1.3299979711278944	809.1	202.275	294.5839523803019	294.5839523803019	144.0	144.0	124.26718490169871	124.26718490169871	1.25527923653925	1.25527923653925	200.0	50.0	72.81140020628638	72.81140020628638	4277.772475	4277.772475	345.38013143669735	345.3801314366975	1.048513676361125	1.0485136763611247	7873.9101	1968.477525	2912.0935603364255	2912.0935603364255	45.1125	45.1125	33.39450116427243	33.394501164272434	1.1391144551407113	1.1391144551407113	64.05	16.0125	30.34955467136215	30.34955467136215	12.5145	12.5145	6.4271844011144506	6.42718440111445	1.0258496069887126	1.0258496069887126	27.142	6.7855	9.944728792179301	9.944728792179301	36.795125	36.795125	10.64355482965185	10.643554829651851	0.9659552201159165	0.9659552201159165	78.8195	19.704875	30.20557765209722	30.20557765209722	2.75	2.75	2.3403473193207156	2.3403473193207156	1.240684291953396	1.240684291953396	4.0	1.0	1.479019945774904	1.479019945774904	0
3	4	70.934635	70.934635	28.29382636071026	28.29382636071027	1.0259926964384511	1.0259926964384511	150.95606	37.739015	54.08117426672312	54.08117426672312	892.15	892.15	848.4916918562675	848.4916918562672	1.3371892869371982	1.3371892869371982	764.9	191.225	280.6916324011102	280.6916324011102	138.5	138.5	121.47287902098432	121.47287902098435	1.2714460535402496	1.2714460535402496	178.0	44.5	64.75530866268804	64.75530866268804	4711.272475	4711.272475	381.8442384939175	381.84423849391777	1.0826052192195121	1.0826052192195121	7873.9101	1968.477525	2894.5460642953803	2894.5460642953803	54.125	54.125	45.94877205398232	45.94877205398231	1.2630287300018535	1.2630287300018535	62.3	15.575	24.55741995813078	24.55741995813078	12.8395	12.8395	6.673735660772465	6.673735660772463	1.0446717401640204	1.0446717401640204	27.142	6.7855	9.81224137238786	9.81224137238786	35.795125	35.795125	9.99540933984323	9.995409339843233	0.9312572357516524	0.9312572357516525	78.8195	19.704875	30.870166363284714	30.870166363284714	3.0	3.0	2.5900200641113513	2.590020064111351	1.2650013752730702	1.2650013752730702	4.0	1.0	1.4142135623730951	1.4142135623730951	0
4	4	28.0329255	28.0329255	14.347529934502079	14.347529934502079	1.0763176832350796	1.0763176832350796	54.83706	13.709265	19.534631280894725	19.534631280894725	956.0	956.0	929.5805653680954	929.5805653680951	1.3577795157670323	1.3577795157670323	574.3	143.575	231.81176631051324	231.81176631051324	113.0	113.0	104.1114838890036	104.11148388900355	1.3146640070227409	1.3146640070227409	103.0	25.75	40.92065493122025	40.92065493122025	2858.772475	2858.772475	217.61953888610466	217.61953888610475	0.8360855861907132	0.8360855861907132	7873.9101	1968.477525	2985.52879540675	2985.52879540675	39.875	39.875	0.0	0.0	0.9464736025217799	0.9464736025217799	72.8	18.2	32.5087199840289	32.5087199840289	5.9245	5.9245	2.5588989022302644	2.5588989022302635	0.8685648481089197	0.8685648481089197	13.242	3.3105	5.622547532035635	5.622547532035635	59.854124999999996	59.854124999999996	4.817082349658499	4.817082349658501	0.6474415684092476	0.6474415684092476	159.8195	39.954875	66.16461130806161	66.16461130806161	2.75	2.75	2.3403473193207156	2.3403473193207156	1.240684291953396	1.240684291953396	4.0	1.0	1.479019945774904	1.479019945774904	0
5	4	31.9761755	31.9761755	16.25847259886681	16.25847259886681	1.1070352121901228	1.1070352121901228	54.83706	13.709265	19.97120919003806	19.97120919003806	919.025	919.025	879.0089187053342	879.0089187053342	1.34265795347049	1.34265795347049	722.2	180.55	271.9952791410175	271.9952791410175	125.25	125.25	111.97138970880304	111.97138970880303	1.2874757531463579	1.2874757531463579	141.0	35.25	53.93224916504039	53.93224916504039	2811.772475	2811.772475	211.47954495485368	211.47954495485388	0.8177696735922756	0.8177696735922756	7873.9101	1968.477525	3004.2239931224967	3004.2239931224967	40.4675	40.4675	20.941579343758665	20.941579343758665	1.0089933636385484	1.0089933636385484	70.42999999999999	17.607499999999998	31.790221275574662	31.790221275574662	5.8845	5.8845	2.5470518299047966	2.5470518299047966	0.8676174667247275	0.8676174667247275	13.242	3.3105	5.603195583771818	5.603195583771818	69.854125	69.854125	5.093444450155649	5.09344445015565	0.6072305331671364	0.6072305331671364	199.8195	49.954875	81.73538578575912	81.73538578575912	2.75	2.75	2.3403473193207156	2.3403473193207156	1.240684291953396	1.240684291953396	4.0	1.0	1.479019945774904	1.479019945774904	0
6	4	83.12746750000001	83.12746750000001	62.34878501255549	62.34878501255551	1.1781485993523346	1.1781485993523346	122.90607000000001	30.726517500000003	49.63408256789551	49.63408256789551	862.125	862.125	818.8565001389758	818.8565001389759	1.3344784846821438	1.3344784846821438	775.8000000000001	193.95000000000002	282.7582923187223	282.7582923187223	136.0	136.0	119.82486697820045	119.82486697820049	1.2844558462788633	1.2844558462788633	159.0	39.75	57.43256915722994	57.43256915722994	5179.60725	5179.60725	824.9452448579676	824.9452448579674	1.093883972766282	1.093883972766282	7872.571	1968.14275	3054.0824311497695	3054.0824311497695	76.975	76.975	57.54530880177064	57.54530880177063	1.1655350682940127	1.1655350682940127	125.3	31.325	48.428110380232674	48.428110380232674	10.005500000000001	10.005500000000001	4.415803192423978	4.415803192423977	1.0358900221924454	1.0358900221924454	19.477999999999998	4.8694999999999995	7.379518327777227	7.379518327777227	29.006645	29.006645	5.0592269939994905	5.05922699399949	0.8348242551668945	0.8348242551668945	78.97342	19.743355	30.085124604496407	30.085124604496407	3.25	3.25	3.0800702882410227	3.0800702882410222	1.3322449224385329	1.3322449224385329	3.0	0.75	1.0897247358851685	1.0897247358851685	0
7	4	47.7206	47.7206	41.006272466740086	41.00627246674008	1.260232784169773	1.260232784169773	62.96059999999999	15.740149999999998	22.948583027716545	22.948583027716545	901.8	901.8	863.5234544354616	863.5234544354626	1.3430010189169854	1.3430010189169854	724.1000000000001	181.02500000000003	268.38011289959627	268.38011289959627	125.25	125.25	110.59899932607145	110.59899932607152	1.280604595495155	1.280604595495155	146.0	36.5	55.07892065028145	55.07892065028145	3561.10725	3561.10725	538.4297721468586	538.4297721468588	0.936630262702191	0.936630262702191	7872.571	1968.14275	3037.2355711251125	3037.2355711251125	88.5175	88.5175	31.803537607281484	31.803537607281477	0.8668466238676267	0.8668466238676267	192.63	48.1575	81.87905054865988	81.87905054865988	6.990500000000001	6.990500000000001	3.4476321570008013	3.447632157000801	1.0667339845618231	1.0667339845618231	13.578000000000001	3.3945000000000003	4.927284317958525	4.927284317958525	69.886645	69.886645	3.844181211852647	3.8441812118526477	0.6092713404847819	0.6092713404847819	199.97342	49.993355	81.70786147775547	81.70786147775547	3.25	3.25	2.9129506302439405	2.91295063024394	1.2711814802605796	1.2711814802605796	4.0	1.0	1.6393596310755	1.6393596310755	0
8	4	59.6061	59.6061	49.86256265369551	49.86256265369552	1.2551182194641843	1.2551182194641843	71.62060000000001	17.905150000000003	27.726531501974783	27.726531501974783	891.725	891.725	848.3789225690175	848.3789225690184	1.3373827497362785	1.3373827497362785	764.4000000000001	191.10000000000002	280.3911586962043	280.3911586962043	131.5	131.5	114.00182237939508	114.00182237939504	1.263059805376545	1.263059805376545	171.0	42.75	63.326534722815836	63.326534722815836	3831.10725	3831.10725	614.5186651432133	614.5186651432135	1.0092846637253932	1.0092846637253932	7872.571	1968.14275	2890.934450918541	2890.934450918541	89.1825	89.1825	38.38666126474525	38.38666126474525	0.8945888862544349	0.8945888862544349	189.97	47.4925	81.18453928396711	81.18453928396711	6.855500000000001	6.855500000000001	3.39178997266241	3.391789972662409	1.0639389315744192	1.0639389315744192	13.578000000000001	3.3945000000000003	4.890239334633838	4.890239334633838	28.636644999999998	28.636644999999998	2.486356299472322	2.4863562994723223	0.6449439473023141	0.6449439473023141	78.97342	19.743355	32.349812051510824	32.349812051510824	3.25	3.25	2.9129506302439405	2.91295063024394	1.2711814802605796	1.2711814802605796	4.0	1.0	1.6393596310755	1.6393596310755	0
9	4	48.2254258	48.2254258	42.54187258123067	42.54187258123068	1.2762745703697154	1.2762745703697154	59.961596799999995	14.990399199999999	22.023823678431427	22.023823678431427	950.825	950.825	843.0454027715189	843.0454027715182	1.2715547176939495	1.2715547176939495	1262.2	315.55	461.4566522166519	461.4566522166519	136.0	136.0	113.16297250808721	113.16297250808718	1.2310252071165402	1.2310252071165402	201.0	50.25	73.78007861204811	73.78007861204811	3387.674	3387.674	484.46564730115506	484.46564730115523	0.8587193304127542	0.8587193304127542	7872.304	1968.076	3164.2548631278105	3164.2548631278105	146.775	146.775	83.49555720004646	83.49555720004646	0.9939251211044362	0.9939251211044362	312.3	78.075	124.52554707769808	124.52554707769808	5.447500000000001	5.447500000000001	2.5920926989545894	2.592092698954589	0.9269025103096564	0.9269025103096564	13.540000000000001	3.3850000000000002	5.157409112141483	5.157409112141483	44.886925000000005	44.886925000000005	3.266085510769212	3.266085510769213	0.7054822282913001	0.7054822282913001	99.9723	24.993075	45.22700250809106	45.22700250809106	2.75	2.75	2.0597671439071177	2.0597671439071177	1.1209503926735833	1.1209503926735833	5.0	1.25	2.0463381929681126	2.0463381929681126	0
